N,M,expertiseMean,expertiseSpread,expertiseSkew,entrantExpertiseMean,entrantExpertiseSpread,entrantExpertiseFloor,graphAttachment,transferRate,decayRate,learningRateSpread,personalLearningRate,mobilityMode,jumpProbability,competitionAversion,prestigeWeight,baseMoveProb,turnoverRate,learningCap,seniorTenureYears,aptitudeMean,aptitudeSpread,teachTopN,aboveMeanDrag,criticalMass,criticalMassSharpness,aiEnabled,aiLevelFraction,aiDampeningBelow,aiDampeningAbove,graphSource,institutionSizing,candidateCap,worldModelFingerprint,comboIndex,arm,t,meanE_mean,meanE_std,p10E_mean,p10E_std,p50E_mean,p50E_std,p90E_mean,p90E_std,divergence_mean,divergence_std,topE_mean,topE_std,aiLevel_mean,aiLevel_std,shareBelowAI_mean,shareBelowAI_std,shareExpert_mean,shareExpert_std,minOccupancy_mean,minOccupancy_std,emptyInstitutions_mean,emptyInstitutions_std,underOccupiedInstitutions_mean,underOccupiedInstitutions_std,n
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.03125,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,305,treatment,120,0.47469075460607807,0,0.2035,0,0.5175,0,0.6165,0,0.014434599229294034,0,0.9224318265914917,0,0.585,0,0.7633333333333333,0,0.23666666666666666,0,0,0,48,0,210,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.03125,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,305,baseline,120,0.4973637096521755,0,0.2535,0,0.5445,0,0.6375,0,0.015015684945413358,0,0.8458415269851685,0,,,,,0.30833333333333335,0,0,0,42,0,213,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.033,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,306,treatment,120,0.4604520294939478,0,0.2035,0,0.5095,0,0.6005,0,0.014670089412326216,0,0.7796557545661926,0,0.585,0,0.8583333333333333,0,0.14166666666666666,0,0,0,49,0,208,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.033,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,306,baseline,120,0.48774547944466273,0,0.2475,0,0.5315,0,0.6205,0,0.013057899851859064,0,0.8092740774154663,0,,,,,0.2733333333333333,0,0,0,46,0,209,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.03475,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,307,treatment,120,0.4640111912228167,0,0.2115,0,0.5055,0,0.6015,0,0.01094050603459263,0,0.8895698189735413,0,0.585,0,0.8683333333333333,0,0.13166666666666665,0,0,0,43,0,211,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.03475,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,307,baseline,120,0.4878005376954873,0,0.2535,0,0.5305,0,0.6145,0,0.010591030879563238,0,0.8868700265884399,0,,,,,0.21333333333333335,0,0,0,43,0,214,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.0365,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,308,treatment,120,0.4688532343072196,0,0.1865,0,0.5065,0,0.6195,0,0.012127069054250917,0,0.8171891570091248,0,0.585,0,0.8066666666666666,0,0.19333333333333333,0,0,0,40,0,212,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.0365,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,308,baseline,120,0.49432353597134354,0,0.2245,0,0.5365,0,0.6315,0,0.01440360606085263,0,0.8297646045684814,0,,,,,0.29,0,0,0,43,0,212,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.03825,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,309,treatment,120,0.44942732765028875,0,0.1745,0,0.4925,0,0.6105,0,0.01718552196992251,0,0.9366242289543152,0,0.585,0,0.84,0,0.16,0,0,0,61,0,207,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.03825,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,309,baseline,120,0.47565524126092595,0,0.2185,0,0.5225,0,0.6195,0,0.0163235692487099,0,0.9414049983024597,0,,,,,0.23666666666666666,0,0,0,45,0,210,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.04,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,310,treatment,120,0.4593791754419605,0,0.1995,0,0.5005,0,0.6045,0,0.012552848409251855,0,0.8572385311126709,0,0.585,0,0.855,0,0.145,0,0,0,48,0,207,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.04,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,310,baseline,120,0.4808093545647959,0,0.2325,0,0.5155,0,0.6205,0,0.009759649867455823,0,0.8346930742263794,0,,,,,0.215,0,0,0,48,0,214,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.04175,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,true,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,311,treatment,120,0.4515635883125166,0,0.2035,0,0.4985,0,0.5805,0,0.012661925313028692,0,0.8079577684402466,0,0.585,0,0.9133333333333333,0,0.08666666666666667,0,0,0,49,0,208,0,1
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.206,0.04175,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,false,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,311,baseline,120,0.4742845006038745,0,0.2315,0,0.5185,0,0.6065,0,0.012905449567014553,0,0.8391602635383606,0,,,,,0.17666666666666667,0,0,0,50,0,212,0,1
