N,M,expertiseMean,expertiseSpread,expertiseSkew,entrantExpertiseMean,entrantExpertiseSpread,entrantExpertiseFloor,graphAttachment,transferRate,decayRate,learningRateSpread,personalLearningRate,mobilityMode,jumpProbability,competitionAversion,prestigeWeight,baseMoveProb,turnoverRate,learningCap,seniorTenureYears,aptitudeMean,aptitudeSpread,teachTopN,aboveMeanDrag,criticalMass,criticalMassSharpness,aiLevelFraction,aiDampeningBelow,aiDampeningAbove,graphSource,institutionSizing,candidateCap,worldModelFingerprint,comboIndex,replicate,t,meanE_baseline,meanE_treatment,meanE_shortfall,shareExpert_baseline,shareExpert_treatment,shareExpert_shortfall
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.04175,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,59,0,120,0.4642993381929894,0.4350653053633869,0.02923403282960252,0.18333333333333332,0.09166666666666666,0.09166666666666666
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.0435,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,60,0,120,0.47145778346806766,0.4519809202477336,0.01947686322033404,0.21333333333333335,0.12166666666666667,0.09166666666666667
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.04525,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,61,0,120,0.45593643908078474,0.43615914325540267,0.01977729582538207,0.11166666666666666,0.08,0.03166666666666666
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.047,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,62,0,120,0.47396263654033344,0.44525302400191624,0.028709612538417195,0.12833333333333333,0.075,0.05333333333333333
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.107,0.012,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,63,0,120,0.5006240953567127,0.47993281750629346,0.020691277850419243,0.3566666666666667,0.2833333333333333,0.07333333333333336
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.107,0.01375,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,64,0,120,0.517547087992231,0.49295072196051476,0.024596366031716277,0.4066666666666667,0.335,0.07166666666666666
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.107,0.0155,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,65,0,120,0.5079459976094465,0.4886342223112782,0.0193117752981683,0.35333333333333333,0.29,0.06333333333333335
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.107,0.01725,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,66,0,120,0.5062498468657335,0.4822351612709463,0.0240146855947872,0.355,0.2633333333333333,0.09166666666666667
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.107,0.019,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,67,0,120,0.5112314564051728,0.49400890327369174,0.017222553131481022,0.42833333333333334,0.3433333333333333,0.08500000000000002
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.107,0.02075,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,68,0,120,0.5030464735006293,0.48667860055342316,0.016367872947206097,0.31333333333333335,0.26,0.053333333333333344
